"cod","ano","mes","dia","at","pl","ll","ebit","deb_cp","deb_lp","rec","vm","pais","setor","pat","debt","dif_ano","l_vm","l_at","ebit_at","pl_at","log_vm","log_at","var_rec","risk","effi","crise","ifrs","ebit_ifrs","pl_ifrs","div_at","cap"
"CAPX.BA",2006,4,30,452398096.488349,154960288.808664,35506071.5457827,9872661.63439449,8341975.71381687,244213324.581556,109859205.776173,186234223.988486,"Argentina","Energy",297437807.679685,252555300.295373,1,98989353.5493674,448359759.243336,0.0220195087334685,0.345615960429141,19.0425157082189,19.930073094612,0.0195789395397602,0.15453069095244,0.242837462467091,0,0,0,0,0.558258980874994,0.415367838324251
"CAPX.BA",2007,4,30,451866904.145078,153565414.507772,662564.766839378,8541450.77720207,15091968.9119171,228556670.984456,125507448.186528,399687511.590981,"Argentina","Energy",298301489.637306,243648639.896373,1,186234223.988486,452398096.488349,0.0188803861985791,0.339447525751751,19.8061935787375,19.9288982345787,0.230940478967831,0.0862064107543917,0.277753132692878,0,0,0,0,0.539204437548598,0.883486280542461
"CAPX.BA",2008,4,30,478484426.87747,152382292.490119,2435098.81422925,30321581.027668,7642055.33596838,250355731.225296,180633675.889328,108844828.205648,"Argentina","Energy",326102134.387351,257997786.561264,1,399687511.590981,451866904.145078,0.0671029029776716,0.337228265872719,18.5054338314765,19.986134222617,-0.488757484928106,-0.0971036524791816,0.377512131519349,1,0,0,0,0.539197875769805,0.240878070969991
"CAPX.BA",2009,4,30,434419369.357229,110914903.651799,-18962134.4832233,6043390.37865517,7525171.80972915,250235817.2753,159464223.150519,152882664.658181,"Argentina","Energy",323504465.70543,257760989.085029,1,108844828.205648,478484426.87747,0.0126302760114756,0.231804626068221,18.8451812874813,19.8895209143497,-0.104130090570844,-0.282238204476367,0.36707438571734,1,0,0,0,0.593345986083481,0.319514400198716
"CAPX.BA",2010,4,30,338094734.672849,96085229.2632664,-10028562.5965997,-4404569.80937661,20290311.6950026,176041669.242658,126854149.92272,251171071.004278,"Argentina","Energy",242009505.409583,196331980.937661,1,152882664.658181,434419369.357229,-0.0101389811782418,0.221180812921475,19.341644822727,19.6388366942734,0.533099830861912,0.499727923050014,0.375202973940035,0,0,0,0,0.580701089970057,0.578176501144305
"CAPX.BA",2011,4,30,364845943.095413,66435754.2310522,431035.074809909,9839296.0510179,11486411.5771401,209040701.496198,171976225.165563,183902471.187149,"Argentina","Energy",298410188.864361,220527113.073338,1,251171071.004278,338094734.672849,0.0291021865825231,0.196500410736469,19.0299161271523,19.7149857487374,-0.32645530413351,-0.116251006808506,0.471366691668512,0,0,0,0,0.604438989241184,0.543937696530822
"CAPX.BA",2012,4,30,455837965.755755,128265265.903164,-3360977.43508334,32727232.1124844,24948524.7760517,211082045.583399,168211005.782969,128168632.790224,"Argentina","Energy",327572699.852591,236030570.359451,1,183902471.187149,364845943.095413,0.0897015102725857,0.351560071670087,18.6688573984901,19.9376479660761,-0.176576213917934,-0.130519132025573,0.369014909725837,0,1,0.0897015102725857,0.351560071670087,0.517794892244494,0.351295211624995
"CAPX.BA",2013,4,30,408740057.831325,93153850.6024096,-15874716.1445783,25447743.6144578,35313337.8313253,212144194.698795,137896844.337349,132420552.911392,"Argentina","Energy",315586207.228915,247457532.53012,1,128168632.790224,455837965.755755,0.0558262925122237,0.204357376086403,18.7014934228894,19.8285899565315,-0.102534659975329,-0.10143174693514,0.337370516286062,0,1,0.0558262925122237,0.204357376086403,0.605415416935325,0.290499174836931
"CAPX.BA",2014,4,30,306996056.151404,32284404.6101153,-28121555.5388885,38021396.7849196,25901131.278282,209490014.750369,102029089.477237,164218378.913842,"Argentina","Energy",274711651.541289,235391146.028651,1,132420552.911392,408740057.831325,0.0930209703121633,0.0789851740526937,18.9167076787667,19.5423454590566,0.62751975881116,0.347700004444835,0.332346580461993,0,1,0.0930209703121633,0.0789851740526937,0.766756254069143,0.401767274255292
"CARC.BA",2006,12,31,55624570.6996369,25725313.1848363,530206.391260262,2298760.34409446,735943.479540771,667582.507441206,80101069.5711903,40869702.8358355,"Argentina","Basic Materials",29899257.5148006,1403525.98698198,1,31573832.1276384,53901320.1320132,0.042647570383516,0.477266848415415,17.5258995845533,17.8341355806616,-0.134383816626778,0.0162627725716416,1.44003034205374,0,0,0,0,0.0252321225913055,0.758231945632108
