"","cod","ano","at","pl","ll","ebit","deb_cp","deb_lp","rec","vm","setor","pat","debt","dif_ano","l_vm","l_at","ebit_at","pl_at","log_vm","log_at","var_rec","risk","effi","crise","ifrs","ebit_ifrs","pl_ifrs","div_at"
"31","AESB3.SA",2011,17462535000,4340054000,1129155000,2758869000,365883000,3049970000,9917958000,9608319568.19999,"Utilities",13122481000,3415853000,1,8656430804.49999,17500232000,0.157647567186538,0.247999797945536,22.9858951818079,23.5833235658224,0.00717285111348019,0.0544478566857644,0.567956370595678,0,1,0.157647567186538,0.247999797945536,0.195610373866108
"32","AESB3.SA",2012,17244714000,3602050000,322146000,1328324000,401904000,3313723000,10099789000,8478396139.15998,"Utilities",13642664000,3715627000,1,9608319568.19999,17462535000,0.0760670773172395,0.206273029660356,22.860787134329,23.5707714986804,-1.48184262583484,-0.116422516663385,0.585674485526405,0,1,0.0760670773172395,0.206273029660356,0.215464692542886
"33","AESB3.SA",2013,16573460000,3948769000,517018000,1294747000,441344000,3412248000,2336933000,7023404219.17999,"Utilities",12624691000,3853592000,1,8478396139.15998,17244714000,0.0750808044714456,0.228984313685921,22.67251386895,23.5310684576913,1.77955003517412,0.180352521604066,0.141004533754569,0,1,0.0750808044714456,0.228984313685921,0.232515841592522
"34","AESB3.SA",2014,17673814000,3682180000,81945000,686151000,1418388000,3267609000,3205007000,6361345738.68999,"Utilities",13991634000,4685997000,1,7023404219.17999,16573460000,0.0414005886519773,0.222173281861482,22.5735057860492,23.5953499460534,-0.515195553954993,-1.77873444227004,0.181342125700768,0,1,0.0414005886519773,0.222173281861482,0.265137847439155
"35","AESB3.SA",2015,4636779000,2018466000,393583000,1163518000,160597000,1230570000,2625821000,5510950896.66997,"Utilities",2618313000,1391167000,1,6361345738.68999,17673814000,0.0658328756882923,0.1142065883459,22.4300030217497,22.2572857810949,-0.320523392935613,1.63824517577622,0.566302814949774,0,1,0.0658328756882923,0.1142065883459,0.300028748404873
"36","AESB3.SA",2016,4099579000,1578099000,358533000,644376000,255776000,1190461000,1561348000,5508677747.99998,"Utilities",2521480000,1446237000,1,5510950896.66997,4636779000,0.138970608691939,0.340343803316915,22.4295904581733,22.1341501224576,0.621331513369391,0.773011577110142,0.380855692743084,0,1,0.138970608691939,0.340343803316915,0.352776955877664
"37","AESB3.SA",2017,6817913000,1557690000,298277000,630608000,1014376000,2574839000,1728125000,5016831520.49998,"Utilities",5260223000,3589215000,1,5508677747.99998,4099579000,0.153822624225561,0.379963405998518,22.3360644001625,22.6428192502404,0.00563913853540741,-0.590639053728519,0.253468326744562,0,1,0.153822624225561,0.379963405998518,0.526438955733228
"38","AESB3.SA",2018,7602605000,1523474000,287963000,731108000,120927000,4006566000,1923533000,3942639359.63999,"Utilities",6079131000,4127493000,1,5016831520.49998,6817913000,0.107233401188898,0.223451663287578,22.0951162242148,22.7517567886667,-0.0688262456396042,-0.101450935858411,0.253009724956117,0,1,0.107233401188898,0.223451663287578,0.542905096345266
"39","AESB3.SA",2019,7798912000,1451170000,300119000,726024000,462867000,3793141000,1998634000,6413641776.4,"Utilities",6347742000,4256008000,1,3942639359.63999,7602605000,0.0954967409197242,0.190877995108256,22.5816930863926,22.7772500737332,-0.0320367140085036,0.209996601879721,0.256270874706626,0,1,0.0954967409197242,0.190877995108256,0.545718171970654
"40","AESB3.SA",2020,10019522000,1842458000,848021000,1748149000,638283000,4622483000,2011192000,6597230775.59997,"Utilities",8177064000,5260766000,1,6413641776.4,7798912000,0.224152933127082,0.236245517323442,22.6099158184762,23.0278012268744,-0.0345953950132345,-0.20013701210205,0.200727340086683,0,1,0.224152933127082,0.236245517323442,0.525051594277651
"41","AESB3.SA",2021,11846050000,3223075000,374284000,185216000,939167000,5280139000,1955011000,5447618899.65,"Utilities",8622975000,6219306000,1,6597230775.59997,10019522000,0.0184855125823368,0.321679517246432,22.4184444510065,23.1952603156263,0.403519043608241,0.469463532500505,0.165034842837908,0,1,0.0184855125823368,0.321679517246432,0.525010953018095
"42","AESB3.SA",2022,18932446000,4391178000,149700000,697851000,885642000,10017897000,2845057000,5814617824.25995,"Utilities",14541268000,10903539000,1,5447618899.65,11846050000,0.0589100164189751,0.370687106672688,22.48364089836,23.66414300671,-0.187768238994352,-0.494107525542882,0.150274137847798,0,1,0.0589100164189751,0.370687106672688,0.575918135459095
"43","AFLT3.SA",2012,93210000,79668000,17691000,17167000,533000,3465000,28242000,315423499.999999,"Utilities",13542000,3998000,1,220796450,92604000,0.185380761090234,0.860308410003887,19.5694267382781,18.3503655700373,0.343335473795511,-1.00768619140638,0.302993241068555,0,1,0.185380761090234,0.860308410003887,0.0428923935200086
"44","AFLT3.SA",2013,83403000,77503000,19441000,19146000,533000,2939000,35127000,220796450,"Utilities",5900000,3472000,1,315423499.999999,93210000,0.205407145156099,0.831488037764188,19.2127517943394,18.239194837905,-0.232034214397272,1.03827109407681,0.421171900291356,0,1,0.205407145156099,0.831488037764188,0.04162919799048
"45","AFLT3.SA",2014,83910000,76650000,14982000,14373000,543000,4020000,34643000,157711750,"Utilities",7260000,4563000,1,220796450,83403000,0.172331930506097,0.919031689507572,18.8762795577182,18.2452553538463,-0.220058045557253,0.204079944639096,0.412859015611965,0,1,0.172331930506097,0.919031689507572,0.0543796925277083
"46","AFLT3.SA",2015,89374000,78418000,12633000,11220000,610000,3426000,27417000,157711750,"Utilities",10956000,4036000,1,157711750,83910000,0.133714694315338,0.934548921463473,18.8762795577182,18.3083403701047,0.36807912338919,-0.370904510090975,0.306767068722447,0,1,0.133714694315338,0.934548921463473,0.0451585472285005
"47","AFLT3.SA",2016,87616000,76206000,14288000,16399000,735000,2699000,31353000,190515794,"Utilities",11410000,3434000,1,157711750,89374000,0.183487367690827,0.852664085752008,19.0652456572308,18.2884741876303,-0.416262686161857,-0.187012669555973,0.357845598977356,0,1,0.183487367690827,0.852664085752008,0.0391937545653762
"48","AFLT3.SA",2017,54791000,44935000,12517000,12666000,733000,1972000,23646000,313530959,"Utilities",9856000,2705000,1,190515794,87616000,0.144562636961286,0.512862947406866,19.5634086659526,17.8190365048538,0.635944968566379,0.204548480305763,0.431567228194412,0,1,0.144562636961286,0.512862947406866,0.0493694219853626
"49","AFLT3.SA",2018,206200000,195754000,22616000,22903000,731000,1245000,33684000,315423500,"Utilities",10446000,1976000,1,313530959,54791000,0.418006606924495,3.57274004854812,19.5694267382781,19.1443571295471,-0.217055756909904,0.02124101565214,0.163355965082444,0,1,0.418006606924495,3.57274004854812,0.00958292919495635
"50","AFLT3.SA",2019,225655000,214346000,25257000,24961000,511000,737000,38621000,698978475.999996,"Utilities",11309000,1248000,1,315423500,206200000,0.121052376333657,1.03950533462658,20.3651305071632,19.2345178422014,-0.208996791676158,0.506823845967213,0.171150650329042,0,1,0.121052376333657,1.03950533462658,0.00553056657286566
"51","AFLT3.SA",2020,207783000,187459000,18709000,19115000,203000,536000,35930000,624538529.999997,"Utilities",20324000,739000,1,698978475.999996,225655000,0.0847089583656467,0.830732755755467,20.2525235829846,19.1520048238507,1.28079751673059,-0.250666640814307,0.172920787552398,0,1,0.0847089583656467,0.830732755755467,0.00355659510162044
"52","AFLT3.SA",2021,275945000,247518000,99808000,103209000,202000,335000,120319000,546313502,"Utilities",28427000,537000,1,624538529.999997,207783000,0.496715323197759,1.19123316151947,20.1187035484184,19.4357121284611,-1.72124914658225,0.0056780595025282,0.436025294895722,0,1,0.496715323197759,1.19123316151947,0.0019460399717335
"53","AFLT3.SA",2022,300719000,260732000,37490000,38263000,202000,134000,72058000,581640933.999996,"Utilities",39987000,336000,1,546313502,275945000,0.138661689829495,0.944869448622008,20.1813638634125,19.5216868318622,0.444468091553921,-0.456384980844995,0.239619046352242,0,1,0.138661689829495,0.944869448622008,0.00111732215124418
"54","AGRO3.SA",2008,702732000,574880000,14536000,27546000,431000,1341000,45389000,701068800,"Consumer Non-Cyclicals",127852000,1772000,1,701068800,674523000,0.040837747563834,0.852276349360956,20.3681165856893,20.3704861537623,-4.48414171096563,-0.471887961218513,0.0645893455826688,1,0,0,0,0.00252158717690386
"55","AGRO3.SA",2009,678996000,576752000,950000,3597000,15488000,9759000,35284000,462121183.999998,"Consumer Non-Cyclicals",102244000,25247000,1,701068800,702732000,0.00511859428629976,0.820728243484002,19.9513377176809,20.3361257944894,0.292412740129052,0.642396056243123,0.0519649600292196,1,0,0,0,0.0371828405469252
"56","AGRO3.SA",2010,710021000,554583000,-18434000,-45375000,28689000,49299000,36745000,531643839.999999,"Consumer Non-Cyclicals",155438000,77988000,1,462121183.999998,678996000,-0.0668266086987258,0.816769170952406,20.0914843494241,20.380805105027,0.731735607112624,-0.266916539470296,0.0517519904340858,0,1,-0.0668266086987258,0.816769170952406,0.109839004761831
"57","AGRO3.SA",2011,751271000,570322000,14743000,10571000,37899000,55436000,79544000,595908479.999999,"Consumer Non-Cyclicals",180949000,93335000,1,531643839.999999,710021000,0.0148882920364327,0.803246664535274,20.2055976561916,20.437276996834,-0.163519834622508,-0.175198295950423,0.105879236653618,0,1,0.0148882920364327,0.803246664535274,0.124236127842017
"58","AGRO3.SA",2012,735762000,558968000,-5572000,-13219000,43067000,51294000,146218000,435246880,"Consumer Non-Cyclicals",176794000,94361000,1,595908479.999999,751271000,-0.0175955148009174,0.744029784192389,19.8914239682928,20.4164172548327,-0.370039968773914,0.0623378089474763,0.198730024111058,0,1,-0.0175955148009174,0.744029784192389,0.128249352372099
"59","AGRO3.SA",2013,770830000,586985000,28727000,26967000,44929000,56924000,185647000,646735967.999999,"Consumer Non-Cyclicals",183845000,101853000,1,435246880,735762000,0.0366517977280697,0.797791949026995,20.2874486826219,20.4629784143491,-0.585003981681416,0.245916334976469,0.24084039282332,0,1,0.0366517977280697,0.797791949026995,0.132134193012727
"60","AGRO3.SA",2014,828382000,583906000,-13362000,-27363000,62253000,57909000,131314000,560855039.999999,"Consumer Non-Cyclicals",244476000,120162000,1,646735967.999999,770830000,-0.0354980994512409,0.757502951364114,20.1449730343751,20.5349849586161,0.629734726403626,-0.201645469433716,0.158518654437204,0,1,-0.0354980994512409,0.757502951364114,0.145056266311919
"61","AGRO3.SA",2015,1017840000,752106000,180810000,157933000,50900000,59179000,174351000,649226589.999997,"Consumer Non-Cyclicals",265734000,110079000,1,560855039.999999,828382000,0.19065238018209,0.907921707617983,20.2912923508682,20.7409485717987,-0.45324665952059,-0.544807542446582,0.171295095496345,0,1,0.19065238018209,0.907921707617983,0.108149610940816
"62","AGRO3.SA",2016,855002000,687488000,7989000,-28934000,51615000,48230000,147128000,696972402,"Consumer Non-Cyclicals",167514000,99845000,1,649226589.999997,1017840000,-0.0284268647331604,0.675438182818518,20.362256372532,20.5666143660796,0.168291557548924,0.714829842845932,0.172079129639463,0,1,-0.0284268647331604,0.675438182818518,0.116777504614024
"63","AGRO3.SA",2017,883293000,667468000,27310000,-185000,56620000,55555000,146911000,694044775.199999,"Consumer Non-Cyclicals",215825000,112175000,1,696972402,855002000,-0.000216373762868391,0.780662501374266,20.3580470339692,20.5991675268566,0.509955954696598,0.421239401456752,0.166321933944908,0,1,-0.000216373762868391,0.780662501374266,0.126996364739673
"64","AGRO3.SA",2018,1179599000,755864000,126338000,160813000,70088000,187393000,244278000,770844811.799999,"Consumer Non-Cyclicals",423735000,257481000,1,694044775.199999,883293000,0.182060765793457,0.855734167484628,20.4629976295557,20.88844038716,-0.126505322595835,-0.556062337761707,0.207085628251635,0,1,0.182060765793457,0.855734167484628,0.218278414952878
"65","AGRO3.SA",2019,1357614000,880533000,177079000,186876000,97995000,209245000,357910000,944356005.599999,"Consumer Non-Cyclicals",477081000,307240000,1,770844811.799999,1179599000,0.158423328605738,0.746468079406646,20.6660137775924,21.028994584147,-0.072826427409087,0.541147126893049,0.263631636090965,0,1,0.158423328605738,0.746468079406646,0.226308803533258
"66","AGRO3.SA",2020,2044368000,1121569000,119554000,164284000,243123000,296839000,487568000,1301706148.96,"Consumer Non-Cyclicals",922799000,539962000,1,944356005.599999,1357614000,0.121009359066716,0.826132464750658,20.9869416632175,21.4383545322217,-0.00187538825775091,-0.359670050743955,0.238493265400358,0,1,0.121009359066716,0.826132464750658,0.264121723681842
"67","AGRO3.SA",2021,3428318000,2182601000,317646000,394119000,352591000,341135000,662952000,3071310240,"Consumer Non-Cyclicals",1245717000,693726000,1,1301706148.96,2044368000,0.192782806226668,1.06761649566027,21.8453700957709,21.9553355988404,0.259190040170329,-0.398243670816453,0.193375293657123,0,1,0.192782806226668,1.06761649566027,0.202351707163688
"68","AGRO3.SA",2022,3345263000,2216048000,520100000,690177000,141992000,329630000,1168137000,2495951455.04,"Consumer Non-Cyclicals",1129215000,471622000,1,3071310240,3428318000,0.201316505645042,0.646395112705414,21.6379358381619,21.930811152249,-0.823493883967972,0.247404963112614,0.349191378973791,0,1,0.201316505645042,0.646395112705414,0.140982039379266
"69","AGXY3.SA",2022,9910493000,1485032000,27957000,527857000,1617075000,343378000,11592510000,1684334391.54,"Consumer Cyclicals",8425461000,1960453000,1,1822702632.63,6774910000,0.0779135073381049,0.219195826955635,21.2446363028523,23.0168599317805,-0.775976223481497,-0.70459876831211,1.16972082014487,0,1,0.0779135073381049,0.219195826955635,0.197815890692824
"70","AHEB3.SA",2003,174198000,41337000,-17489000,-17627000,0,33032000,68927000,5100100,"Consumer Cyclicals",132861000,33032000,1,9123409.99999998,171564000,-0.102742999696906,0.240942155696999,15.4447707053455,18.9757031412605,0.287135614969541,-0.106655639546003,0.395681925165616,0,0,0,0,0.189623302219314
"71","AHEB3.SA",2004,184844000,28884000,-8687000,-8687000,0,35704000,112985000,5066314.95999999,"Consumer Cyclicals",155960000,35704000,1,5100100,174198000,-0.0498685403965602,0.165811318155203,15.4381242789495,19.0350227840698,-1.05554139882895,-0.0188628804722316,0.611245158079245,0,0,0,0,0.193157473328861
"72","AHEB3.SA",2005,190391000,10737000,-18865000,-18865000,0,38106000,64452000,206445,"Consumer Cyclicals",179654000,38106000,1,5066314.95999999,184844000,-0.102059033563437,0.0580868191556123,12.2377893120817,19.0645904102968,0.559921404720153,-0.0565629618306137,0.338524405040154,0,0,0,0,0.200146015305345
"73","AHEB3.SA",2008,273599000,61326000,-1132000,-1132000,0,0,115892000,102744832.16,"Consumer Cyclicals",212273000,0,1,1215819,280839000,-0.00403077920089446,0.218367107132556,18.447759114796,19.4271740887352,-0.0471158173225364,0.05329399052582,0.423583419530042,1,0,0,0,0
"74","AHEB3.SA",2009,287729000,70391000,5524000,10831000,0,0,128912000,122847510,"Consumer Cyclicals",217338000,0,1,102744832.16,273599000,0.0395871329939071,0.257277987127146,18.6264543881058,19.4775296228857,0.297731190517195,-0.0389087721876993,0.448032697434044,1,0,0,0,0
